@ 7200 IN SOA virgo hostmaster 1430540898 10800 1800 1814400 7200
@ 7200 IN MX 12801 ax.virusfree.cz.
7200 IN MX 12817 bx.virusfree.cz.
exochomus.bf 7200 IN A 160.217.205.136
k4-907b-havlir00.k4 7200 IN A 160.217.224.52
fzs-1276.zsf 7200 IN A 160.217.201.24
eduroam-160-217-136-15.eduroam 7200 IN A 160.217.136.15
wireless-client-160-217-148-101.wa2 7200 IN A 160.217.148.101
oAP1-vurh-zat-2NP.wx 7200 IN A 160.217.93.170
fzs-2485.zsf 7200 IN A 160.217.201.33
eduroam-160-217-137-144.eduroam 7200 IN A 160.217.137.144
tfa-gw.tf 7200 IN A 160.217.193.254
opac16.lib 7200 IN A 160.217.156.76
n8.ufb 7200 IN A 160.217.215.108
fzs-1936.zsf 7200 IN A 160.217.200.21
wireless-client-160-217-151-191.wa2 7200 IN A 160.217.151.191
pc1404.pf 7200 IN A 160.217.98.104
KM-C220-Safe-Q.frov 7200 IN MX 10 KM-C220-Safe-Q.frov
KM-C220-Safe-Q.frov 7200 IN A 160.217.202.127
VPN-160-217-131-167.vpn 7200 IN A 160.217.131.167
AP4-rek-bra-5NP.wx 7200 IN A 160.217.91.33
A309kat5.ff 7200 IN A 160.217.126.30
eduroam-160-217-137-37.eduroam 7200 IN A 160.217.137.37
ips5.bobik 7200 IN A 160.217.152.45
alponot.pf 7200 IN A 160.217.97.144
eduroam-160-217-136-177.eduroam 7200 IN A 160.217.136.177
k4-710a-navvabi.k4 7200 IN A 160.217.225.104
A348-Dell2-Kropackova.rek 7200 IN A 160.217.155.171
pc0304.zf 7200 IN A 160.217.161.94
wireless-client-160-217-148-151.wa2 7200 IN A 160.217.148.151
oAP1-av-bufet-1NP.wx 7200 IN A 160.217.93.39
pcmcavoy.pf 7200 IN A 160.217.120.133
hp175x.pf 7200 IN A 160.217.120.78
A410PP1350.rek 7200 IN A 160.217.155.188
wireless-client-160-217-151-146.wa2 7200 IN A 160.217.151.146
k2-501-novakm58.k2 7200 IN A 160.217.218.232
leaf.ufb 7200 IN A 160.217.215.3
A2044Papousek.ff 7200 IN A 160.217.126.119
VPN-160-217-131-227.vpn 7200 IN A 160.217.131.227
wireless-client-160-217-151-20.wa2 7200 IN A 160.217.151.20
icte-dsp.pf 7200 IN CNAME zms03
wireless-client-160-217-151-157.wa2 7200 IN A 160.217.151.157
jpcbs.prf 7200 IN CNAME jerrymouse.prf
fzs-1386.zsf 7200 IN A 160.217.199.40
sssbAAAAA.prf 7200 IN CNAME jerrymouse.prf
wireless-client-160-217-148-211.wa2 7200 IN A 160.217.148.211
k5-710-wandem00.k5 7200 IN A 160.217.228.222
ryplnew.pf 7200 IN A 160.217.96.218
pc03.bobik 7200 IN A 160.217.152.53
k2-509-coufam02.k2 7200 IN A 160.217.218.219
dhcp-pool-160-217-169-203.zf 7200 IN A 160.217.169.203
FROVZF-zasedacky-160-217-170-41.frovzf 7200 IN A 160.217.170.41
tl408.pf 7200 IN A 160.217.120.137
tiskarna110-zr03.zf 7200 IN A 160.217.168.42
kam-men-argosy.kam 7200 IN A 160.217.220.135
pc1405.pf 7200 IN A 160.217.98.105
A310kat6.ff 7200 IN A 160.217.126.31
printer-canonmx700.frov 7200 IN MX 10 printer-canonmx700.frov
printer-canonmx700.frov 7200 IN A 160.217.202.124
k051102j04.zf 7200 IN A 160.217.166.29
wireless-client-160-217-148-70.wa2 7200 IN A 160.217.148.70
wireless-client-160-217-151-163.wa2 7200 IN A 160.217.151.163
rum.prf 7200 IN CNAME jerrymouse.prf
wireless-client-160-217-133-97.wa1 7200 IN A 160.217.133.97
fzs-1699.zsf 7200 IN A 160.217.199.66
kokos.pf 7200 IN A 160.217.96.132
dhcp-pool-160-217-203-228.frov 7200 IN A 160.217.203.228
pc1905.pf 7200 IN A 160.217.98.175
leno.k1 7200 IN A 160.217.217.248
leno.k2 7200 IN A 160.217.219.248
leno.k3 7200 IN A 160.217.223.248
leno.k4 7200 IN A 160.217.225.248
leno.k5 7200 IN A 160.217.231.248
virt-srv02.zf 7200 IN A 160.217.161.182
k3-704-jkovar01.k3 7200 IN A 160.217.222.242
k2-406-pivonl00.k2 7200 IN A 160.217.218.74
k2-214-hlavaj09.k2 7200 IN A 160.217.218.112
wireless-client-160-217-146-49.wa2 7200 IN A 160.217.146.49
wireless-client-160-217-151-165.wa2 7200 IN A 160.217.151.165
t48zfspav 7200 IN A 160.217.8.94
dilnakovo.pf 7200 IN A 160.217.97.84
wireless-client-160-217-146-147.wa2 7200 IN A 160.217.146.147
dhcp-pool-160-217-203-234.frov 7200 IN A 160.217.203.234
k2-508-dohnaa03.k2 7200 IN A 160.217.218.158
stargate.ufb 7200 IN A 160.217.215.120
wireless-client-160-217-133-220.wa1 7200 IN A 160.217.133.220
service-eth1.bobik 7200 IN A 160.217.152.244
pc1406.pf 7200 IN A 160.217.98.106
IPtel-kvz-kancelar.zsf 7200 IN A 160.217.201.227
wireless-client-160-217-146-99.wa2 7200 IN A 160.217.146.99
emodul-f.zf 7200 IN A 160.217.164.249
k051102j05.zf 7200 IN A 160.217.166.30
pc0306.zf 7200 IN A 160.217.161.96
wireless-client-160-217-151-179.wa2 7200 IN A 160.217.151.179
IPtel-Koutska.zsf 7200 IN A 160.217.199.183
printserver-rodina.frov 7200 IN MX 10 printserver-rodina.frov
printserver-rodina.frov 7200 IN A 160.217.190.166
mon.ef 7200 IN A 160.217.161.15
wireless-client-160-217-146-197.wa2 7200 IN A 160.217.146.197
vm5-131-test 7200 IN A 160.217.5.131
dhcp-pool-160-217-203-239.frov 7200 IN A 160.217.203.239
host.frov 7200 IN MX 10 host.frov
host.frov 7200 IN A 160.217.202.40
ml350i.pf 7200 IN A 160.217.96.13
pc1906.pf 7200 IN A 160.217.98.176
wireless-client-160-217-150-140.wa2 7200 IN A 160.217.150.140
oAP1-zsf-ner-1NP.wx 7200 IN A 160.217.93.215
ecom.ef 7200 IN CNAME ec.ef
FF-cam06.cam 7200 IN A 160.217.94.156
wireless-client-160-217-133-31.wa1 7200 IN A 160.217.133.31
wireless-client-160-217-150-66.wa2 7200 IN A 160.217.150.66
AP1-zsf-dest-1NP.wx 7200 IN A 160.217.91.105
ucebna003.tf 7200 IN A 160.217.192.81
connector-ef.ef 7200 IN A 160.217.161.31
pc2007.pf 7200 IN A 160.217.98.147
0024813b3e37.pfduk.dhcp 7200 IN CNAME allow.pfduk.dhcp
k2-305-kurkom00.k2 7200 IN A 160.217.218.36
VPN-160-217-131-63.vpn 7200 IN A 160.217.131.63
fzs-2495.zsf 7200 IN A 160.217.199.75
dhcp-pool-160-217-169-205.zf 7200 IN A 160.217.169.205
wireless-client-160-217-145-11.wa2 7200 IN A 160.217.145.11
wireless-client-160-217-149-103.wa2 7200 IN A 160.217.149.103
fprcb0202.prf 7200 IN A 160.217.205.97
pc1407.pf 7200 IN A 160.217.98.107
wireless-client-160-217-133-176.wa1 7200 IN A 160.217.133.176
ZF2-drac 7200 IN A 160.217.7.82
wireless-client-160-217-133-81.wa1 7200 IN A 160.217.133.81
iptel-4657.frov 7200 IN MX 10 iptel-4657.frov
iptel-4657.frov 7200 IN A 160.217.190.60
wireless-client-160-217-151-196.wa2 7200 IN A 160.217.151.196
k5-606-vanaja01.k5 7200 IN A 160.217.228.215
k051102j06.zf 7200 IN A 160.217.166.31
pc0307.zf 7200 IN A 160.217.161.97
AP3-zf-chem-2NP.wx 7200 IN A 160.217.91.202
wireless-client-160-217-145-77.wa2 7200 IN A 160.217.145.77
002454001f7a.pfduk.dhcp 7200 IN CNAME allow.pfduk.dhcp
AP1-av-rek-2NP.wx 7200 IN A 160.217.91.114
fzs-1726.zsf 7200 IN A 160.217.198.23
wireless-client-160-217-145-61.wa2 7200 IN A 160.217.145.61
wireless-client-160-217-144-25.wa2 7200 IN A 160.217.144.25
fprpr3072.prf 7200 IN A 160.217.213.39
vanicek.pf 7200 IN A 160.217.96.47
pc1907.pf 7200 IN A 160.217.98.177
wireless-client-160-217-133-236.wa1 7200 IN A 160.217.133.236
wireless-client-160-217-144-144.wa2 7200 IN A 160.217.144.144
k1-709-barakk00.k1 7200 IN A 160.217.216.87
k4-807a-janacz00.k4 7200 IN A 160.217.224.250
virt-srv04.zf 7200 IN A 160.217.161.184
lang-centre02.zf 7200 IN A 160.217.163.77
ZF-cam84-49.cam 7200 IN A 160.217.84.145
ZF-cam84-50.cam 7200 IN A 160.217.84.146
kam-k3-praktik.kam 7200 IN A 160.217.220.169
dhcpclient-3-10 7200 IN A 160.217.3.10
dhcpclient-3-11 7200 IN A 160.217.3.11
dhcpclient-3-12 7200 IN A 160.217.3.12
dhcpclient-3-13 7200 IN A 160.217.3.13
dhcpclient-3-14 7200 IN A 160.217.3.14
eduroam-160-217-137-175.eduroam 7200 IN A 160.217.137.175
A0053TiskPagePro1350.ff 7200 IN A 160.217.126.184
wireless-client-160-217-149-119.wa2 7200 IN A 160.217.149.119
FROVZF-zasedacky-160-217-170-126.frovzf 7200 IN A 160.217.170.126
fprcb3476.prf 7200 IN A 160.217.205.84
fzs-3085.zsf 7200 IN A 160.217.197.70
pc1408.pf 7200 IN A 160.217.98.108
eduroam-160-217-136-218.eduroam 7200 IN A 160.217.136.218
VPN-160-217-129-24.vpn 7200 IN A 160.217.129.24
eduroam-160-217-136-46.eduroam 7200 IN A 160.217.136.46
KolejK1-160-217-217-209.k1 7200 IN A 160.217.217.209
pc0308.zf 7200 IN A 160.217.161.98
access-duk.pf 7200 IN A 160.217.120.250
blaha-ntb.frov 7200 IN MX 10 blaha-ntb.frov
blaha-ntb.frov 7200 IN A 160.217.202.62
wireless-client-160-217-132-42.wa1 7200 IN A 160.217.132.42
summerschool.prf 7200 IN CNAME jerrymouse.prf
prn2-hp.zsf 7200 IN A 160.217.201.102
ntb-niksirath.frov 7200 IN MX 10 ntb-niksirath.frov
ntb-niksirath.frov 7200 IN A 160.217.191.66
wireless-client-160-217-151-56.wa2 7200 IN A 160.217.151.56
wireless-client-160-217-144-254.wa2 7200 IN A 160.217.144.254
wireless-client-160-217-150-69.wa2 7200 IN A 160.217.150.69
pc1908.pf 7200 IN A 160.217.98.178
k2-104-dolezj07.k2 7200 IN A 160.217.218.113
VPN-160-217-129-74.vpn 7200 IN A 160.217.129.74
virt-srv05.zf 7200 IN A 160.217.161.185
wireless-client-160-217-144-22.wa2 7200 IN A 160.217.144.22
dhcp-pool-160-217-156-230.lib 7200 IN A 160.217.156.230
AP7-zsf-bor-3NP.wx 7200 IN A 160.217.93.96
fprcs12509.prf 7200 IN A 160.217.208.209
printer1-tc.bobik 7200 IN A 160.217.152.8
A238Bauer.ff 7200 IN A 160.217.126.37
student4.lib 7200 IN A 160.217.156.93
wireless-client-160-217-132-92.wa1 7200 IN A 160.217.132.92
kbe2.prf 7200 IN CNAME jerrymouse.prf
wireless-client-160-217-149-136.wa2 7200 IN A 160.217.149.136
dhcp-pool-160-217-169-207.zf 7200 IN A 160.217.169.207
VPN-160-217-129-116.vpn 7200 IN A 160.217.129.116
laz242.ufb 7200 IN A 160.217.215.242
pc08.bobik 7200 IN A 160.217.152.58
k1-612-axmank00.k1 7200 IN A 160.217.216.178
pc1409.pf 7200 IN A 160.217.98.109
fprcc010471.prf 7200 IN A 160.217.206.91
wireless-client-160-217-144-72.wa2 7200 IN A 160.217.144.72
wireless-client-160-217-147-100.wa2 7200 IN A 160.217.147.100
nbkursduk.pf 7200 IN A 160.217.120.124
emodul-i.zf 7200 IN A 160.217.161.249
k3-314-srubja00.k3 7200 IN A 160.217.222.247
ntb-shaliutina.frov 7200 IN MX 10 ntb-shaliutina.frov
ntb-shaliutina.frov 7200 IN A 160.217.191.86
iss2.prf 7200 IN CNAME jerrymouse.prf
dhcp-pool-160-217-169-206.zf 7200 IN A 160.217.169.206
pinus.bf 7200 IN A 160.217.205.6
VPN-160-217-129-166.vpn 7200 IN A 160.217.129.166
wireless-client-160-217-132-183.wa1 7200 IN A 160.217.132.183
pc1909.pf 7200 IN A 160.217.98.179
ntb-kobernova.frov 7200 IN A 160.217.191.53
k1-911-novakp19.k1 7200 IN A 160.217.217.27
k3-320-kamenk00.k3 7200 IN A 160.217.222.62
wireless-client-160-217-147-149.wa2 7200 IN A 160.217.147.149
k4-201a-neubaz00.k4 7200 IN A 160.217.224.192
nbaps.wa1 7200 IN A 160.217.133.240
k5-506-strake00.k5 7200 IN A 160.217.228.45
k1-717-prochj09.k1 7200 IN A 160.217.216.212
Linhap01.frov 7200 IN MX 10 Linhap01.frov
Linhap01.frov 7200 IN A 160.217.202.42
7200 IN A 160.217.202.135
svoc.ef 7200 IN CNAME web.ef
VPN-160-217-129-226.vpn 7200 IN A 160.217.129.226
FROVZF-zasedacky-160-217-170-1.frovzf 7200 IN A 160.217.170.1
IPtel-sedova-nerudovka.zsf 7200 IN A 160.217.197.245
pvojtova.pf 7200 IN A 160.217.120.105
wireless-client-160-217-146-89.wa2 7200 IN A 160.217.146.89
KolejK2-160-217-219-208.k2 7200 IN A 160.217.219.208
VPN-160-217-131-110.vpn 7200 IN A 160.217.131.110
modul-e.zsf 7200 IN A 160.217.201.244
wireless-client-160-217-149-67.wa2 7200 IN A 160.217.149.67
esx5-eth1.zsf 7200 IN A 160.217.178.35
A0046Peskova.ff 7200 IN A 160.217.126.218
A0053Maresova.ff 7200 IN A 160.217.126.137
emodul-j.zf 7200 IN A 160.217.166.249
wireless-client-160-217-150-73.wa2 7200 IN A 160.217.150.73
pc0311.zf 7200 IN A 160.217.161.121
oAP1-zsf-jir-4NP.wx 7200 IN A 160.217.93.150
A0007Martinkova.ff 7200 IN A 160.217.126.123
FROVZF-zasedacky-160-217-170-187.frovzf 7200 IN A 160.217.170.187
studi1.tf 7200 IN A 160.217.193.127
wireless-client-160-217-132-209.wa1 7200 IN A 160.217.132.209
bilkova.pf 7200 IN A 160.217.120.69
pc1911.pf 7200 IN A 160.217.98.181
dogmat.tf 7200 IN A 160.217.193.190
wireless-client-160-217-151-23.wa2 7200 IN A 160.217.151.23
IPtel-vratnik-nerudovka-nbx.zsf 7200 IN A 160.217.197.246
AP2-bf-budB-1NP.wx 7200 IN A 160.217.91.222
k1-220-hruzos00.k1 7200 IN A 160.217.216.113
eduroam-160-217-136-114.eduroam 7200 IN A 160.217.136.114
oAP3-zf-dek-2NP.wx 7200 IN A 160.217.93.57
asic.ef 7200 IN CNAME web.ef
dhclient05-ucpf.pf 7200 IN A 160.217.98.251
recepce02.lib 7200 IN A 160.217.156.150
AP4-tf-knez-2NP.wx 7200 IN A 160.217.91.83
pc1412.pf 7200 IN A 160.217.98.112
test-roucova.pf 7200 IN A 160.217.121.159
A1031Rauchova.ff 7200 IN A 160.217.126.110
fprpzs2051.prf 7200 IN A 160.217.214.5
k3-308-novakz14.k3 7200 IN A 160.217.222.133
wireless-client-160-217-145-146.wa2 7200 IN A 160.217.145.146
pc0312.zf 7200 IN A 160.217.161.122
laura.pf 7200 IN A 160.217.96.176
arpwatch.eduroam 7200 IN A 160.217.137.250
wireless-client-160-217-148-28.wa2 7200 IN A 160.217.148.28
ekonom.tf 7200 IN A 160.217.193.130
litur.tf 7200 IN A 160.217.193.150
k2-1017-kramla00.k2 7200 IN A 160.217.219.42
pc1912.pf 7200 IN A 160.217.98.182
wireless-client-160-217-149-186.wa2 7200 IN A 160.217.149.186
fzs-s33.zsf 7200 IN A 160.217.178.233
eduroam-160-217-136-77.eduroam 7200 IN A 160.217.136.77
ucebnaIP.zsf 7200 IN A 160.217.200.96
wireless-client-160-217-145-196.wa2 7200 IN A 160.217.145.196
eduroam-160-217-137-216.eduroam 7200 IN A 160.217.137.216
oAP5-zf-chem-3NP.wx 7200 IN A 160.217.93.204
printer-stud.pf 7200 IN A 160.217.96.214
wireless-client-160-217-148-78.wa2 7200 IN A 160.217.148.78
k1-518-kubovv03.k1 7200 IN A 160.217.216.157
wireless-client-160-217-132-125.wa1 7200 IN A 160.217.132.125
eduroam-160-217-136-250.eduroam 7200 IN A 160.217.136.250
ped3.pf 7200 IN A 160.217.120.46
k1-1011-mattar00.k1 7200 IN A 160.217.216.26
uran-sw-11.zsf 7200 IN A 160.217.179.247
pc1413.pf 7200 IN A 160.217.98.113
k5-123-tomasm03.k5 7200 IN A 160.217.228.252
k4-210b-komarm02.k4 7200 IN A 160.217.225.16
cbackup-idrac 7200 IN A 160.217.1.55
arpwatch-bfmat.prf 7200 IN A 160.217.2.250
A425Centrum.rek 7200 IN A 160.217.155.27
k5-712-pachov01.k5 7200 IN A 160.217.228.139
k051300o11.zf 7200 IN A 160.217.171.61
pc0313.zf 7200 IN A 160.217.161.123
regent.bf 7200 IN CNAME regent.prf
wireless-client-160-217-148-110.wa2 7200 IN A 160.217.148.110
ZSF-uVyst-160-217-200-172.zsf 7200 IN A 160.217.200.172
wireless-client-160-217-132-175.wa1 7200 IN A 160.217.132.175
doktor-ordinace.prf 7200 IN A 160.217.2.40
wireless-client-160-217-146-7.wa2 7200 IN A 160.217.146.7
o365 7200 IN MX 10 o365-jcu-cz.mail.protection.outlook.com.
argosy.kam 7200 IN A 160.217.220.79
pc1913.pf 7200 IN A 160.217.98.183
srv94-2.cam 7200 IN A 160.217.94.2
AP3-FrovH-2NP.wx 7200 IN A 160.217.92.83
k3-815-kanovl00.k3 7200 IN A 160.217.222.65
VPN-160-217-131-118.vpn 7200 IN A 160.217.131.118
k052520j62.zf 7200 IN A 160.217.166.117
k051300o-reserve16.zf 7200 IN A 160.217.171.16
wireless-client-160-217-132-109.wa1 7200 IN A 160.217.132.109
kch14.zf 7200 IN A 160.217.171.64
Pap-g485-EF-K400.epc 7200 IN A 160.217.89.85
VPN-160-217-131-160.vpn 7200 IN A 160.217.131.160
wireless-client-160-217-132-235.wa1 7200 IN A 160.217.132.235
wireless-client-160-217-148-102.wa2 7200 IN A 160.217.148.102
pc2008.pf 7200 IN A 160.217.98.148
fzs-2w7-15.zsf 7200 IN A 160.217.178.64
fzs-2231.zsf 7200 IN A 160.217.201.47
eduroam-160-217-137-84.eduroam 7200 IN A 160.217.137.84
fprsw06-nic1.prf 7200 IN A 160.217.210.9
opac17.lib 7200 IN A 160.217.156.77
n9.ufb 7200 IN A 160.217.215.109
k1-417-rehakv00.k1 7200 IN A 160.217.216.146
stapro-app.zsf 7200 IN A 160.217.196.20
FROVZF-zasedacky-160-217-170-69.frovzf 7200 IN A 160.217.170.69
VPN-160-217-131-168.vpn 7200 IN A 160.217.131.168
pc14.bobik 7200 IN A 160.217.152.64
RH1-PC.frov 7200 IN MX 10 RH1-PC.frov
RH1-PC.frov 7200 IN A 160.217.202.133
emodul-m.zf 7200 IN A 160.217.164.248
fzs-1337.zsf 7200 IN A 160.217.199.68
pc0314.zf 7200 IN A 160.217.161.124
FROVZF-zasedacky-160-217-170-173.frovzf 7200 IN A 160.217.170.173
wireless-client-160-217-148-152.wa2 7200 IN A 160.217.148.152
FROVZF-zasedacky-160-217-170-66.frovzf 7200 IN A 160.217.170.66
AP11-pf-jer-4NP.wx 7200 IN A 160.217.91.245
szp11.szp 7200 IN A 160.217.128.11
fzs-s04-cx.zsf 7200 IN A 160.217.178.204
kdvorakova.pf 7200 IN A 160.217.120.130
wireless-client-160-217-149-229.wa2 7200 IN A 160.217.149.229
pc1914.pf 7200 IN A 160.217.98.184
k3-711-simont00.k3 7200 IN A 160.217.223.62
VPN-160-217-131-228.vpn 7200 IN A 160.217.131.228
idm2 7200 IN A 160.217.6.20
AP1-zf-pavC-1NP.wx 7200 IN A 160.217.93.126
fzs-1387.zsf 7200 IN A 160.217.199.24
nfs.zf 7200 IN A 160.217.161.165
wireless-client-160-217-150-79.wa2 7200 IN A 160.217.150.79
wireless-client-160-217-148-212.wa2 7200 IN A 160.217.148.212
hex.prf 7200 IN A 160.217.214.8
kzt.zf 7200 IN CNAME sites.zf
pc1415.pf 7200 IN A 160.217.98.115
ucebna09.lib 7200 IN A 160.217.156.26
fzs-1587.zsf 7200 IN A 160.217.200.32
k5-303-kocurd01.k5 7200 IN A 160.217.228.119
k2-806-slechs01.k2 7200 IN A 160.217.218.58
A411LandovaTisk.rek 7200 IN A 160.217.155.35
KolejK1-160-217-217-211.k1 7200 IN A 160.217.217.211
pc0315.zf 7200 IN A 160.217.161.125
oAP4-zf-chem-3NP.wx 7200 IN A 160.217.93.203
wireless-client-160-217-150-246.wa2 7200 IN A 160.217.150.246
eduroam-160-217-137-112.eduroam 7200 IN A 160.217.137.112
fprcs12510.prf 7200 IN A 160.217.208.210
PCudrzba.zf 7200 IN A 160.217.161.54
VPN-160-217-129-100.vpn 7200 IN A 160.217.129.100
eduroam-160-217-137-89.eduroam 7200 IN A 160.217.137.89
klimesntb.szp 7200 IN A 160.217.128.33
eduroam-160-217-136-145.eduroam 7200 IN A 160.217.136.145
n24bfzs.bf 7200 IN A 160.217.214.252
VPN-160-217-131-193.vpn 7200 IN A 160.217.131.193
wireless-client-160-217-151-168.wa2 7200 IN A 160.217.151.168
fzs-2w7-48.zsf 7200 IN A 160.217.178.98
oAP2-zf-puc-1NP.wx 7200 IN A 160.217.93.66
wireless-client-160-217-146-51.wa2 7200 IN A 160.217.146.51
AP10-FrovA-3NP.wx 7200 IN A 160.217.91.59
VPN-160-217-131-208.vpn 7200 IN A 160.217.131.208
douleova.lib 7200 IN A 160.217.156.101
wireless-client-160-217-146-148.wa2 7200 IN A 160.217.146.148
fprpa4032.prf 7200 IN A 160.217.210.102
tisk-Brezinova.zsf 7200 IN A 160.217.201.62
pc1416.pf 7200 IN A 160.217.98.116
001f299bdf01.pfduk.dhcp 7200 IN CNAME allow.pfduk.dhcp
A237Turecek.ff 7200 IN A 160.217.126.73
emodul-o.zf 7200 IN A 160.217.171.249
fprcp010052.prf 7200 IN A 160.217.212.43
pc0316.zf 7200 IN A 160.217.161.126
k1-1001-singhs00.k1 7200 IN A 160.217.216.32
k1-801-ronovt00.k1 7200 IN A 160.217.216.234
wireless-client-160-217-146-198.wa2 7200 IN A 160.217.146.198
iptel-4767.frov 7200 IN MX 10 iptel-4767.frov
iptel-4767.frov 7200 IN A 160.217.190.67
wireless-client-160-217-147-81.wa2 7200 IN A 160.217.147.81
rha-server.prf 7200 IN CNAME fprsl06.prf
wireless-client-160-217-150-83.wa2 7200 IN A 160.217.150.83
pc2016.pf 7200 IN A 160.217.98.156
VPN-160-217-131-220.vpn 7200 IN A 160.217.131.220
FF-cam07.cam 7200 IN A 160.217.94.157
hohe 7200 IN A 160.217.88.1
wireless-client-160-217-133-32.wa1 7200 IN A 160.217.133.32
A2029TiskPagePro1350.ff 7200 IN A 160.217.126.191
pc-sampels.frov 7200 IN MX 10 pc-sampels.frov
pc-sampels.frov 7200 IN A 160.217.191.61
sbor1.tf 7200 IN A 160.217.193.114
eduroam-160-217-137-53.eduroam 7200 IN A 160.217.137.53
iptel-4773.frov 7200 IN MX 10 iptel-4773.frov
iptel-4773.frov 7200 IN A 160.217.190.73
vserver-a.ef 7200 IN A 160.217.161.29
VPN-160-217-131-64.vpn 7200 IN A 160.217.131.64
k3-1009-zdrazd00.k3 7200 IN A 160.217.222.192
wireless-client-160-217-145-12.wa2 7200 IN A 160.217.145.12
k3-703-spakom00.k3 7200 IN A 160.217.222.22
pc1417.pf 7200 IN A 160.217.98.117
bago.pf 7200 IN A 160.217.123.36
pc1410.pf 7200 IN A 160.217.98.110
areca2.zf 7200 IN A 160.217.161.39
ZF-cam84-01.cam 7200 IN A 160.217.84.31
wireless-client-160-217-144-42.wa2 7200 IN A 160.217.144.42
pc0317.zf 7200 IN A 160.217.161.127
k5-027-lokeso00.k5 7200 IN A 160.217.229.205
iptel-4778.frov 7200 IN MX 10 iptel-4778.frov
iptel-4778.frov 7200 IN A 160.217.190.78
FROVZF-zasedacky-160-217-170-152.frovzf 7200 IN A 160.217.170.152
k2-211-simanj02.k2 7200 IN A 160.217.219.85
wireless-client-160-217-133-184.wa1 7200 IN A 160.217.133.184
stanek.pf 7200 IN A 160.217.120.144
wireless-client-160-217-145-62.wa2 7200 IN A 160.217.145.62
k1-506-tausca00.k1 7200 IN A 160.217.216.133
pc2017.pf 7200 IN A 160.217.98.157
wireless-client-160-217-133-237.wa1 7200 IN A 160.217.133.237
wireless-client-160-217-144-145.wa2 7200 IN A 160.217.144.145
tisk-sindelarova.zsf 7200 IN A 160.217.201.46
biomedicina.prf 7200 IN CNAME jerrymouse.prf
Moudra-PC.frov 7200 IN MX 10 Moudra-PC.frov
Moudra-PC.frov 7200 IN A 160.217.202.63
iptel-4784.frov 7200 IN MX 10 iptel-4784.frov
iptel-4784.frov 7200 IN A 160.217.190.84
wireless-client-160-217-148-203.wa2 7200 IN A 160.217.148.203
ryplova.pf 7200 IN A 160.217.96.146
wireless-client-160-217-151-181.wa2 7200 IN A 160.217.151.181
k5-124-knozol00.k5 7200 IN A 160.217.229.26
k2-218-krupiv00.k2 7200 IN A 160.217.218.165
fprcb3477.prf 7200 IN A 160.217.205.78
idrac-r720.zf 7200 IN A 160.217.169.246
fzs-3086.zsf 7200 IN A 160.217.197.72
5c9ad8691012.pfduk.dhcp 7200 IN CNAME allow.pfduk.dhcp
VPN-160-217-129-25.vpn 7200 IN A 160.217.129.25
fzs-2457NB.zsf 7200 IN A 160.217.200.36
FROVZF-zasedacky-160-217-170-230.frovzf 7200 IN A 160.217.170.230
VPN-160-217-129-150.vpn 7200 IN A 160.217.129.150
pc19.bobik 7200 IN A 160.217.152.69
wireless-client-160-217-150-137.wa2 7200 IN A 160.217.150.137
k3-102-ausobm00.k3 7200 IN A 160.217.222.56
k4-407a-planak00.k4 7200 IN A 160.217.224.29
wireless-client-160-217-132-43.wa1 7200 IN A 160.217.132.43
k4-906b-kudlan00.k4 7200 IN A 160.217.224.248
NTB-SIS.zsf 7200 IN A 160.217.198.150
k5-620-novacb01.k5 7200 IN A 160.217.229.63
wireless-client-160-217-151-57.wa2 7200 IN A 160.217.151.57
wireless-client-160-217-144-255.wa2 7200 IN A 160.217.144.255
time.zf 7200 IN CNAME taurus.zf
pc2018.pf 7200 IN A 160.217.98.158
VPN-160-217-129-75.vpn 7200 IN A 160.217.129.75
wireless-client-160-217-150-115.wa2 7200 IN A 160.217.150.115
iptel-4795.frov 7200 IN MX 10 iptel-4795.frov
iptel-4795.frov 7200 IN A 160.217.190.95
uc117.tf 7200 IN A 160.217.193.168
fprcs12511.prf 7200 IN A 160.217.208.211
KolejK4-160-217-225-192.k4 7200 IN A 160.217.225.192
student5.lib 7200 IN A 160.217.156.94
wireless-client-160-217-132-93.wa1 7200 IN A 160.217.132.93
k051800b3p17.zf 7200 IN A 160.217.162.162
ucebna14.zsf 7200 IN A 160.217.201.64
VPN-160-217-129-117.vpn 7200 IN A 160.217.129.117
VPN-160-217-129-91.vpn 7200 IN A 160.217.129.91
pc1419.pf 7200 IN A 160.217.98.119
k5-210-repetl00.k5 7200 IN A 160.217.228.248
fprcb1813.prf 7200 IN A 160.217.205.110
wireless-client-160-217-133-187.wa1 7200 IN A 160.217.133.187
eduroam-160-217-136-14.eduroam 7200 IN A 160.217.136.14
wireless-client-160-217-147-101.wa2 7200 IN A 160.217.147.101
eduroam-160-217-137-143.eduroam 7200 IN A 160.217.137.143
pc0319.zf 7200 IN A 160.217.161.129
rozv201.ufb 7200 IN A 160.217.215.201
ntb-alavi.frov 7200 IN MX 10 ntb-alavi.frov
ntb-alavi.frov 7200 IN A 160.217.191.81
wireless-client-160-217-132-22.wa1 7200 IN A 160.217.132.22
A0047TiskPagePro1350.ff 7200 IN A 160.217.126.174
VPN-160-217-129-167.vpn 7200 IN A 160.217.129.167
eduroam-160-217-136-176.eduroam 7200 IN A 160.217.136.176
pc2019.pf 7200 IN A 160.217.98.159
